R,I,A,S,E,C,RSES,CDSES,Strand,Label
5,3,4,2,4,2,30,72,GAS,BS Criminology
4,3,2,4,5,7,39,120,GAS,BS Business Administration
6,7,4,2,3,4,34,51,TVL,BS Industrial Technology
7,3,4,2,6,4,23,61,Arts & Design,BS Criminology
6,6,4,3,3,6,40,76,STEM,BS Architecture
3,3,3,5,4,4,40,110,HUMSS,BA Communication
6,6,4,4,4,2,24,71,GAS,BS Agriculture
4,3,5,5,5,4,23,109,HUMSS,BS Education
4,2,4,7,4,4,36,98,HUMSS,BA Communication
6,5,2,4,2,2,30,63,STEM,BS Agriculture
3,2,3,5,6,5,19,82,ABM,BS Business Administration
5,5,3,2,4,4,35,73,GAS,BS Agriculture
6,4,4,4,3,4,39,51,GAS,BS Agriculture
3,4,4,7,3,2,26,70,HUMSS,BS Tourism Management
4,7,4,4,4,5,36,114,TVL,BS Industrial Technology
4,2,3,4,5,7,20,68,ABM,BS Business Administration
2,6,2,6,3,4,26,61,STEM,BS Biology
4,6,3,4,2,4,22,86,STEM,BS Mechanical Engineering
6,6,3,4,4,5,20,85,STEM,BS Architecture
4,2,4,3,6,7,35,96,ABM,BS Accountancy
4,3,3,4,6,5,37,112,ABM,BS Business Administration
7,4,2,4,3,3,25,123,GAS,BS Agriculture
4,7,3,3,2,5,26,114,STEM,BS Civil Engineering
6,6,4,4,3,5,19,82,STEM,BS Information Technology
3,4,2,3,5,7,35,45,ABM,BS Business Administration
4,4,2,5,6,5,24,113,ABM,BS Business Administration
7,2,4,4,4,2,32,87,STEM,BS Criminology
4,6,4,2,4,4,26,97,STEM,BS Computer Science
3,3,3,6,5,2,35,45,HUMSS,BS Tourism Management
4,7,4,2,4,4,29,109,Sports,BS Architecture
4,2,4,6,4,3,39,48,HUMSS,BS Education
5,4,4,3,4,3,38,63,GAS,BS Agriculture
2,4,5,5,3,2,18,118,TVL,BS Hospitality Management
7,4,3,2,4,4,29,72,GAS,BS Agriculture
2,5,2,5,4,3,24,59,STEM,BS Biology
2,4,3,5,7,5,27,53,ABM,BS Marketing Management
4,4,3,4,6,5,39,75,TVL,BS Business Administration
4,6,3,3,3,6,39,84,STEM,BS Information Systems
4,4,4,6,4,2,18,85,HUMSS,BS Psychology
6,7,4,3,3,5,22,87,STEM,BS Civil Engineering
5,6,3,3,4,4,23,122,HUMSS,BS Industrial Technology
4,2,4,7,5,2,20,47,HUMSS,BS Psychology
6,7,3,4,2,4,35,78,STEM,BS Information Technology
6,6,2,3,3,2,36,82,TVL,BS Agriculture
2,6,3,7,2,4,25,123,STEM,BS Biology
2,6,2,5,4,4,39,63,STEM,BS Biology
3,2,6,4,2,2,26,92,Arts & Design,Bachelor of Fine Arts
4,3,3,4,6,5,19,86,TVL,BS Business Administration
6,6,4,4,4,4,30,93,STEM,BS Mechanical Engineering
6,6,3,2,4,5,29,89,STEM,BS Information Systems
4,2,7,3,3,2,25,54,Arts & Design,Bachelor of Fine Arts
4,5,2,2,3,6,40,60,STEM,BS Mechanical Engineering
6,4,2,3,6,3,33,71,GAS,BS Criminology
5,2,2,2,6,4,23,62,GAS,BS Criminology
6,5,2,2,3,4,34,96,STEM,BS Computer Science
4,2,4,5,7,6,20,72,ABM,BS Marketing Management
3,2,6,4,4,2,36,68,Arts & Design,Bachelor of Fine Arts
3,5,4,7,3,3,37,120,GAS,BS Biology
2,2,3,5,5,4,39,98,HUMSS,BS Tourism Management
4,5,3,4,4,4,35,109,STEM,BS Architecture
5,7,2,4,4,4,39,100,STEM,BS Information Systems
2,4,5,6,3,3,30,89,TVL,BS Hospitality Management
2,3,2,4,6,5,20,81,ABM,BS Marketing Management
6,5,2,2,4,4,18,118,GAS,BS Agriculture
2,6,4,5,4,3,31,91,GAS,BS Biology
3,3,4,4,7,6,37,80,ABM,BS Marketing Management
2,3,5,7,4,2,29,116,HUMSS,BS Tourism Management
5,7,3,4,3,6,22,60,STEM,BS Mechanical Engineering
6,5,2,2,4,5,28,115,TVL,BS Industrial Technology
4,6,4,2,2,4,33,121,STEM,BS Computer Science
5,5,3,2,4,4,30,96,STEM,BS Information Systems
3,7,4,5,2,4,33,101,Sports,BS Biology
3,5,2,7,4,4,40,74,STEM,BS Biology
5,5,4,2,2,4,26,96,STEM,BS Computer Science
3,4,3,7,3,4,40,53,HUMSS,BS Tourism Management
6,6,4,4,3,3,26,73,GAS,BS Agriculture
3,3,4,3,6,5,31,109,STEM,BS Business Administration
3,6,2,7,3,4,36,77,STEM,BS Biology
4,3,3,6,4,4,32,120,HUMSS,BS Tourism Management
2,3,6,4,4,2,39,74,Arts & Design,Bachelor of Fine Arts
6,4,4,2,6,3,25,81,Arts & Design,BS Criminology
2,4,3,6,4,3,24,118,HUMSS,BA Communication
3,4,2,3,7,5,26,71,ABM,BS Business Administration
6,6,2,2,2,4,39,108,STEM,BS Civil Engineering
5,5,3,4,3,3,36,80,GAS,BS Agriculture
3,6,2,7,2,2,34,99,STEM,BS Biology
5,6,3,3,4,2,32,60,GAS,BS Agriculture
5,7,2,2,4,4,30,119,HUMSS,BS Industrial Technology
5,5,4,3,2,5,33,123,STEM,BS Architecture
3,3,2,4,7,6,29,96,ABM,BS Accountancy
4,2,4,5,5,5,26,75,ABM,BS Accountancy
2,2,5,5,4,2,23,98,HUMSS,BS Tourism Management
4,7,3,6,3,3,35,117,STEM,BS Biology
2,2,3,4,7,5,32,87,ABM,BS Accountancy
4,4,4,6,3,3,21,89,TVL,BS Hospitality Management
4,7,4,4,4,6,23,81,STEM,BS Architecture
3,7,3,5,3,4,27,104,STEM,BS Biology
2,4,4,6,5,4,36,96,HUMSS,BS Psychology
4,5,3,2,3,5,38,82,STEM,BS Information Systems
6,6,3,3,3,6,36,111,STEM,BS Architecture
5,2,2,2,6,2,39,77,GAS,BS Criminology
4,5,3,2,2,4,33,115,Sports,BS Information Systems
4,2,3,6,5,2,20,94,HUMSS,BS Tourism Management
6,6,3,4,2,4,34,66,Arts & Design,BS Civil Engineering
3,3,4,7,4,4,32,62,TVL,BS Hospitality Management
5,6,4,3,4,4,38,117,GAS,BS Agriculture
6,5,3,4,2,2,32,84,GAS,BS Agriculture
4,6,2,2,4,4,29,81,STEM,BS Mechanical Engineering
6,6,3,3,2,5,27,121,STEM,BS Information Technology
6,6,2,3,4,5,30,76,STEM,BS Information Technology
3,2,4,5,4,4,25,111,HUMSS,BS Tourism Management
6,7,3,3,4,6,35,79,STEM,BS Architecture
4,5,3,2,4,5,37,102,STEM,BS Information Systems
5,5,3,2,2,4,35,47,STEM,BS Architecture
3,6,2,7,3,4,18,74,STEM,BS Nursing
2,3,7,4,3,3,32,49,Arts & Design,Bachelor of Fine Arts
2,3,4,5,5,3,23,69,HUMSS,BS Psychology
5,5,2,4,2,5,32,76,STEM,BS Mechanical Engineering
4,6,4,2,4,6,24,105,STEM,BS Computer Science
3,2,5,7,3,4,35,111,GAS,BS Education
2,3,3,7,3,2,25,100,HUMSS,BS Education
3,4,2,4,5,5,19,119,ABM,BS Accountancy
4,4,6,4,2,2,23,108,TVL,Bachelor of Fine Arts
4,2,3,6,5,2,40,113,HUMSS,BA Communication
3,2,4,7,5,3,32,69,GAS,BS Psychology
4,2,4,5,4,4,32,116,TVL,BS Hospitality Management
2,4,6,5,3,3,32,80,Arts & Design,Bachelor of Fine Arts
6,5,2,4,2,5,27,78,STEM,BS Architecture
4,7,4,3,4,4,18,124,TVL,BS Industrial Technology
4,6,4,2,4,6,30,69,STEM,BS Architecture
4,2,7,4,3,3,38,86,TVL,Bachelor of Fine Arts
4,5,2,2,2,4,33,69,TVL,BS Information Systems
4,3,5,7,5,4,26,51,HUMSS,BS Tourism Management
6,5,2,2,4,5,20,104,STEM,BS Architecture
5,7,4,3,3,6,19,123,STEM,BS Computer Science
6,5,3,2,2,6,21,57,STEM,BS Computer Science
6,4,2,4,4,2,36,125,GAS,BS Agriculture
7,6,3,4,2,4,36,90,GAS,BS Agriculture
5,2,2,4,5,4,28,65,GAS,BS Criminology
5,6,3,4,3,5,31,100,STEM,BS Architecture
4,2,5,7,3,3,35,77,HUMSS,BA Communication
5,6,2,4,2,5,37,47,TVL,BS Industrial Technology
2,3,3,5,4,2,40,80,HUMSS,BS Education
4,7,4,5,2,2,32,90,STEM,BS Biology
5,7,2,2,3,5,20,118,STEM,BS Mechanical Engineering
4,2,4,4,6,5,33,118,ABM,BS Business Administration
4,7,3,5,4,4,30,55,STEM,BS Nursing
3,3,4,5,3,4,38,122,HUMSS,BA Communication
2,3,5,5,4,4,36,64,HUMSS,BS Tourism Management
4,5,4,4,3,5,37,118,STEM,BS Civil Engineering
5,6,3,2,2,5,20,105,STEM,BS Civil Engineering
6,6,3,2,3,6,31,61,STEM,BS Computer Science
4,2,7,4,4,4,24,116,Arts & Design,Bachelor of Fine Arts
2,5,2,6,3,3,39,118,Arts & Design,BS Biology
6,3,3,2,5,3,37,48,GAS,BS Criminology
3,4,3,5,5,6,19,74,ABM,BS Accountancy
2,4,3,5,5,2,25,124,TVL,BS Hospitality Management
2,3,5,5,4,3,33,47,HUMSS,BS Education
5,4,4,4,3,4,33,124,GAS,BS Agriculture
4,4,5,5,4,4,39,112,ABM,BS Psychology
5,5,4,4,3,4,32,46,Arts & Design,BS Computer Science
6,7,3,2,2,5,38,94,STEM,BS Mechanical Engineering
4,4,3,6,4,4,35,56,HUMSS,BS Tourism Management
3,7,4,5,2,2,34,84,STEM,BS Biology
4,2,3,6,5,3,29,125,HUMSS,BS Tourism Management
3,5,4,6,3,2,35,80,STEM,BS Biology
3,4,3,5,5,3,34,123,HUMSS,BA Communication
5,5,4,2,3,5,37,87,STEM,BS Civil Engineering
2,4,3,7,5,4,24,62,HUMSS,BS Psychology
2,6,2,7,4,2,28,53,STEM,BS Biology
2,6,2,7,2,3,31,97,STEM,BS Nursing
4,5,2,2,2,4,37,123,STEM,BS Mechanical Engineering
4,2,4,3,5,7,18,90,Sports,BS Marketing Management
2,4,7,4,4,4,29,68,Arts & Design,Bachelor of Fine Arts
3,2,6,3,2,2,31,46,Arts & Design,Bachelor of Fine Arts
5,4,4,2,4,2,23,101,GAS,BS Criminology
4,3,7,3,3,3,19,122,Arts & Design,Bachelor of Fine Arts
4,3,4,7,5,4,37,113,HUMSS,BS Tourism Management
6,5,3,3,2,4,34,113,STEM,BS Computer Science
6,6,4,4,2,4,27,101,STEM,BS Computer Science
3,3,3,6,4,4,19,111,HUMSS,BS Education
6,6,2,4,4,4,23,119,TVL,BS Industrial Technology
5,5,3,3,3,2,23,103,GAS,BS Agriculture
3,2,3,4,7,7,40,65,ABM,BS Business Administration
2,5,4,6,4,3,20,112,STEM,BS Nursing
4,5,3,7,3,2,23,87,STEM,BS Biology
2,2,3,7,3,3,27,84,HUMSS,BS Psychology
5,7,2,2,2,4,18,124,TVL,BS Industrial Technology
5,6,3,4,2,6,33,75,STEM,BS Information Technology
3,3,7,3,4,4,18,76,Arts & Design,Bachelor of Fine Arts
6,7,4,2,2,4,22,52,STEM,BS Mechanical Engineering
4,5,4,4,4,5,28,56,GAS,BS Computer Science
2,4,3,5,7,7,40,121,ABM,BS Accountancy
5,5,4,4,3,2,20,83,GAS,BS Agriculture
2,3,5,5,4,3,22,60,HUMSS,BS Tourism Management
5,7,3,4,2,6,24,123,TVL,BS Mechanical Engineering
2,6,4,7,4,4,27,99,STEM,BS Biology
3,4,5,7,4,2,37,117,HUMSS,BA Communication
3,2,7,3,4,3,24,45,GAS,Bachelor of Fine Arts
4,5,4,6,3,2,28,89,STEM,BS Nursing
2,4,2,5,6,6,20,84,ABM,BS Business Administration
6,4,2,4,3,3,30,117,GAS,BS Agriculture
4,5,3,3,4,5,33,49,STEM,BS Information Technology
2,4,7,5,3,3,31,52,Arts & Design,Bachelor of Fine Arts
4,4,5,6,5,4,18,71,HUMSS,BS Education
3,2,3,6,3,3,30,125,HUMSS,BA Communication
4,4,3,3,7,5,27,85,ABM,BS Accountancy
5,5,3,2,3,5,27,72,STEM,BS Mechanical Engineering
2,3,2,3,5,6,34,48,ABM,BS Accountancy
2,5,3,6,4,4,27,86,Sports,BS Biology
4,7,2,5,4,2,32,94,STEM,BS Nursing
2,5,3,5,4,4,20,87,STEM,BS Biology
4,7,4,4,3,4,36,84,STEM,BS Computer Science
3,2,2,4,6,7,28,101,ABM,BS Business Administration
4,5,3,2,2,6,35,110,TVL,BS Mechanical Engineering
4,3,4,5,5,3,36,76,TVL,BS Hospitality Management
4,3,5,6,3,2,18,105,HUMSS,BS Education
4,6,2,2,3,5,23,121,STEM,BS Computer Science
6,6,3,3,2,6,39,113,Sports,BS Industrial Technology
6,5,2,4,3,4,32,84,TVL,BS Industrial Technology
5,5,2,2,4,5,29,95,TVL,BS Industrial Technology
3,3,4,5,3,3,21,89,HUMSS,BA Communication
3,3,4,5,5,7,21,96,ABM,BS Accountancy
3,7,4,5,3,4,32,96,STEM,BS Nursing
6,5,4,2,3,5,20,88,STEM,BS Civil Engineering
3,3,4,4,7,7,25,67,ABM,BS Marketing Management
6,7,4,3,2,6,37,104,STEM,BS Information Systems
3,5,3,6,2,4,21,121,STEM,BS Nursing
3,3,5,7,3,2,24,62,HUMSS,BS Tourism Management
4,7,2,3,4,5,30,123,STEM,BS Information Technology
2,4,3,4,7,7,27,100,ABM,BS Business Administration
2,4,3,7,5,3,22,82,TVL,BS Hospitality Management
4,7,4,3,2,5,18,75,STEM,BS Computer Science
3,4,3,5,6,6,30,100,ABM,BS Marketing Management
3,2,2,5,6,6,31,64,ABM,BS Accountancy
2,2,3,7,3,2,33,100,HUMSS,BS Psychology
2,2,5,6,4,4,37,99,HUMSS,BS Psychology
6,6,4,3,3,5,25,68,TVL,BS Industrial Technology
6,6,4,2,4,6,26,97,STEM,BS Information Technology
3,2,2,5,6,7,29,59,ABM,BS Marketing Management
4,7,4,4,3,5,34,55,STEM,BS Information Systems
4,5,3,4,4,6,39,54,STEM,BS Architecture
7,5,4,2,3,4,18,105,GAS,BS Agriculture
4,4,7,4,3,3,27,66,TVL,Bachelor of Fine Arts
4,4,4,5,5,3,36,66,HUMSS,BS Education
4,4,3,6,4,2,22,109,Sports,BS Education
5,5,4,3,3,5,18,59,STEM,BS Mechanical Engineering
4,2,4,4,6,5,26,75,ABM,BS Marketing Management
2,6,2,5,4,2,33,97,STEM,BS Biology
6,6,4,4,2,4,36,89,HUMSS,BS Civil Engineering
2,5,3,6,3,3,33,113,STEM,BS Nursing
3,3,3,7,4,2,27,102,HUMSS,BS Tourism Management
4,4,3,5,5,4,29,100,HUMSS,BA Communication
5,6,3,2,3,6,36,95,STEM,BS Mechanical Engineering
6,7,4,2,4,5,39,68,STEM,BS Civil Engineering
6,5,2,2,3,4,34,58,STEM,BS Information Technology
2,4,4,6,3,2,18,124,TVL,BS Hospitality Management
4,4,2,5,5,5,37,61,ABM,BS Business Administration
2,2,4,3,6,6,32,54,ABM,BS Marketing Management
5,7,4,3,3,4,20,80,STEM,BS Mechanical Engineering
3,3,3,6,4,2,32,53,HUMSS,BS Tourism Management
4,3,2,5,6,5,22,114,ABM,BS Business Administration
4,4,2,4,7,6,21,49,TVL,BS Business Administration
5,5,3,2,4,6,18,49,STEM,BS Mechanical Engineering
4,7,3,3,4,4,34,107,STEM,BS Mechanical Engineering
4,2,5,5,3,3,40,106,TVL,BS Tourism Management
3,4,4,6,3,4,38,56,TVL,BS Hospitality Management
2,3,4,7,3,2,35,50,HUMSS,BA Communication
3,4,3,3,7,7,29,107,Arts & Design,BS Business Administration
6,5,2,2,2,4,36,75,TVL,BS Industrial Technology
6,7,3,3,4,5,18,49,STEM,BS Information Systems
4,2,4,5,3,4,39,111,HUMSS,BA Communication
5,6,4,2,2,2,22,107,GAS,BS Agriculture
4,2,6,5,4,2,18,67,Arts & Design,Bachelor of Fine Arts
2,3,5,5,5,2,21,59,HUMSS,BS Education
4,5,2,3,3,6,39,96,STEM,BS Architecture
4,2,3,3,5,7,23,87,HUMSS,BS Marketing Management
3,2,5,6,5,2,32,76,HUMSS,BS Psychology
4,5,4,4,3,4,18,107,STEM,BS Computer Science
2,4,4,5,6,6,40,105,ABM,BS Accountancy
2,4,3,5,6,6,25,67,ABM,BS Business Administration
6,5,4,3,4,4,38,83,STEM,BS Computer Science
6,5,2,2,4,4,37,91,STEM,BS Information Technology
7,4,3,4,4,2,26,51,GAS,BS Agriculture
4,3,4,5,3,4,19,51,HUMSS,BS Psychology
2,3,4,6,5,3,19,58,HUMSS,BS Education
5,4,2,3,4,2,20,75,GAS,BS Agriculture
4,3,3,3,7,7,28,74,ABM,BS Marketing Management
2,2,3,7,4,2,30,73,TVL,BA Communication
2,3,6,3,4,3,23,94,Arts & Design,Bachelor of Fine Arts
6,5,4,3,3,4,28,61,TVL,BS Industrial Technology
5,5,2,3,3,5,23,88,STEM,BS Computer Science
4,2,5,7,3,4,35,74,Sports,BS Education
3,5,4,6,3,3,18,99,STEM,BS Biology
4,6,3,4,2,6,22,118,STEM,BS Civil Engineering
5,2,3,4,6,2,31,112,GAS,BS Criminology
3,6,2,5,4,2,40,97,STEM,BS Nursing
3,3,3,7,3,2,33,84,HUMSS,BS Psychology
6,7,4,2,3,5,22,96,TVL,BS Industrial Technology
4,3,5,7,3,4,20,94,TVL,BS Hospitality Management
4,2,4,6,4,4,37,114,HUMSS,BA Communication
4,2,4,4,7,5,34,91,ABM,BS Business Administration
3,6,3,7,2,3,29,67,STEM,BS Nursing
6,7,2,2,3,4,35,59,STEM,BS Information Systems
4,2,4,3,6,6,26,109,ABM,BS Marketing Management
4,5,3,3,3,5,34,112,STEM,BS Mechanical Engineering
4,4,7,5,3,3,37,92,Arts & Design,Bachelor of Fine Arts
4,6,2,2,3,4,27,54,HUMSS,BS Information Systems
4,5,3,5,2,4,38,47,STEM,BS Nursing
5,5,3,3,3,4,38,47,GAS,BS Agriculture
4,5,4,4,3,5,36,88,STEM,BS Information Systems
3,4,5,7,5,4,32,103,HUMSS,BA Communication
3,2,4,5,4,3,27,51,HUMSS,BS Psychology
4,7,2,4,4,5,23,67,TVL,BS Industrial Technology
2,2,3,5,4,4,22,101,HUMSS,BS Psychology
2,4,4,3,7,6,29,63,ABM,BS Accountancy
5,6,3,2,2,3,33,63,GAS,BS Agriculture
2,2,5,7,5,3,38,82,HUMSS,BA Communication
4,4,3,7,5,3,28,59,HUMSS,BS Education
4,7,4,2,3,4,30,124,STEM,BS Computer Science
5,5,3,2,4,6,24,119,TVL,BS Industrial Technology
4,5,2,4,3,6,39,56,STEM,BS Mechanical Engineering
2,3,4,7,5,4,19,91,HUMSS,BS Tourism Management
6,3,3,2,5,3,29,84,GAS,BS Criminology
5,4,4,3,4,3,32,81,GAS,BS Agriculture
7,3,2,4,6,2,22,71,GAS,BS Criminology
3,5,4,6,2,2,31,79,STEM,BS Biology
6,6,4,2,2,2,30,82,GAS,BS Agriculture
5,7,3,3,4,6,32,73,STEM,BS Computer Science
3,3,5,7,4,2,38,81,HUMSS,BS Psychology
4,4,6,3,2,3,33,53,Arts & Design,Bachelor of Fine Arts
4,3,5,6,4,4,39,105,TVL,BS Hospitality Management
3,7,4,7,2,3,23,119,HUMSS,BS Nursing
6,5,3,2,2,5,29,98,TVL,BS Industrial Technology
2,3,4,7,5,2,34,69,TVL,BS Hospitality Management
2,4,2,5,6,6,39,83,ABM,BS Accountancy
2,4,5,6,3,2,22,111,TVL,BS Hospitality Management
3,3,6,3,2,2,34,73,Arts & Design,Bachelor of Fine Arts
7,6,4,4,4,4,40,59,GAS,BS Agriculture
4,5,2,3,3,5,40,91,GAS,BS Information Systems
6,6,2,4,3,4,21,73,Arts & Design,BS Architecture
4,2,4,5,3,2,20,99,HUMSS,BS Psychology
2,5,3,6,2,2,21,49,STEM,BS Nursing
4,5,3,5,3,2,20,83,STEM,BS Biology
2,7,2,7,2,2,39,89,ABM,BS Nursing
6,6,3,2,4,6,37,75,STEM,BS Mechanical Engineering
4,7,2,4,2,6,24,81,STEM,BS Information Systems
5,6,2,2,4,4,33,91,GAS,BS Agriculture
3,4,2,3,6,6,31,72,ABM,BS Accountancy
5,3,2,3,4,4,22,108,GAS,BS Criminology
4,4,3,5,4,3,21,94,HUMSS,BS Education
6,6,4,3,2,6,31,82,STEM,BS Architecture
5,2,3,4,5,2,18,107,GAS,BS Criminology
3,4,5,7,3,2,22,95,HUMSS,BS Tourism Management
2,4,2,3,6,5,28,70,ABM,BS Marketing Management
2,2,4,7,4,3,40,119,HUMSS,BS Tourism Management
3,3,5,7,4,3,34,80,GAS,BS Tourism Management
2,6,3,6,2,4,22,48,STEM,BS Nursing
5,7,2,2,3,6,39,86,STEM,BS Information Systems
6,5,2,4,4,5,32,70,STEM,BS Architecture
3,4,7,5,3,4,35,47,Arts & Design,Bachelor of Fine Arts
5,5,3,3,3,5,32,103,ABM,BS Computer Science
7,5,4,2,3,3,22,84,GAS,BS Agriculture
2,4,7,4,4,4,39,114,Arts & Design,Bachelor of Fine Arts
4,2,7,3,3,3,33,120,Arts & Design,Bachelor of Fine Arts
6,6,3,3,2,4,36,50,HUMSS,BS Architecture
4,4,3,7,4,3,21,99,TVL,BS Hospitality Management
3,3,3,7,3,2,25,84,TVL,BS Hospitality Management
5,5,3,2,2,6,28,49,STEM,BS Information Systems
7,4,3,3,4,4,33,120,HUMSS,BS Criminology
4,3,4,7,3,3,21,71,HUMSS,BS Tourism Management
4,6,2,7,3,3,31,70,STEM,BS Biology
6,5,3,3,2,5,36,96,STEM,BS Information Systems
6,5,4,4,2,6,28,79,Sports,BS Architecture
3,6,2,6,2,4,27,109,STEM,BS Biology
7,4,3,2,5,3,26,124,GAS,BS Criminology
5,4,4,4,4,2,36,108,GAS,BS Agriculture
5,7,4,4,3,6,38,52,TVL,BS Industrial Technology
3,2,3,5,5,4,27,100,TVL,BS Hospitality Management
6,5,3,3,3,6,23,77,STEM,BS Information Systems
5,5,2,2,2,4,25,84,STEM,BS Civil Engineering
6,5,4,2,2,2,26,62,Sports,BS Agriculture
6,7,2,4,2,6,33,47,STEM,BS Mechanical Engineering
4,3,3,6,4,4,39,56,HUMSS,BA Communication
2,2,5,7,5,2,34,119,HUMSS,BS Psychology
3,6,2,5,4,2,28,87,STEM,BS Biology
4,4,3,6,3,2,21,67,HUMSS,BS Tourism Management
5,6,3,4,2,5,35,92,STEM,BS Mechanical Engineering
3,7,3,6,4,2,26,63,STEM,BS Nursing
3,2,5,7,3,4,39,51,TVL,BS Hospitality Management
5,7,3,3,4,6,29,60,STEM,BS Civil Engineering
5,6,2,3,3,5,20,75,STEM,BS Civil Engineering
3,4,3,5,6,5,26,55,ABM,BS Accountancy
3,4,7,4,4,3,21,65,Arts & Design,Bachelor of Fine Arts
2,6,3,7,4,4,28,103,STEM,BS Biology
6,7,2,4,3,6,22,45,STEM,BS Computer Science
3,4,3,5,3,2,34,61,HUMSS,BS Education
6,3,3,4,4,3,23,120,GAS,BS Criminology
2,2,4,6,3,3,30,118,HUMSS,BS Education
6,7,4,4,2,4,32,70,STEM,BS Information Technology
2,3,4,4,7,6,22,56,ABM,BS Accountancy
4,2,2,5,7,6,32,108,Arts & Design,BS Accountancy
2,3,3,5,6,6,22,100,ABM,BS Business Administration
4,6,4,4,2,5,23,97,STEM,BS Architecture
5,6,2,4,3,4,29,119,STEM,BS Information Technology
4,5,3,2,3,6,30,72,TVL,BS Industrial Technology
7,4,3,2,4,4,19,51,GAS,BS Criminology
5,6,4,4,4,6,19,45,STEM,BS Civil Engineering
5,6,3,4,3,4,35,50,STEM,BS Architecture
4,7,3,3,3,4,20,85,STEM,BS Mechanical Engineering
5,3,2,3,4,2,33,80,GAS,BS Criminology
6,3,4,3,6,3,31,66,GAS,BS Criminology
2,4,7,5,3,2,24,64,ABM,Bachelor of Fine Arts
5,6,2,4,3,5,21,108,HUMSS,BS Computer Science
6,5,3,2,4,2,21,89,Sports,BS Agriculture
2,2,5,7,4,4,39,119,HUMSS,BS Education
6,7,2,3,2,4,33,57,STEM,BS Information Technology
5,7,4,2,3,5,36,58,STEM,BS Information Technology
2,2,4,7,5,3,32,125,HUMSS,BS Psychology
6,5,3,2,4,6,32,86,STEM,BS Architecture
2,2,2,5,6,6,19,54,ABM,BS Marketing Management
5,5,3,3,2,4,30,56,ABM,BS Architecture
3,3,3,5,7,5,21,83,ABM,BS Accountancy
7,3,4,4,4,3,39,57,GAS,BS Criminology
2,6,3,6,3,3,36,121,STEM,BS Biology
6,4,2,3,6,3,20,50,GAS,BS Criminology
6,5,4,4,4,4,33,112,TVL,BS Industrial Technology
2,6,3,6,2,3,27,64,STEM,BS Biology
2,4,4,6,5,2,35,54,HUMSS,BS Education
2,7,3,6,2,3,39,117,STEM,BS Biology
3,4,3,7,3,2,39,104,TVL,BS Hospitality Management
3,2,2,4,7,6,28,120,ABM,BS Accountancy
6,6,3,2,2,4,20,122,TVL,BS Industrial Technology
3,7,2,5,3,2,18,66,STEM,BS Nursing
6,6,4,4,4,6,33,83,TVL,BS Industrial Technology
5,7,4,4,4,5,27,56,STEM,BS Architecture
2,2,4,3,5,5,33,63,ABM,BS Business Administration
7,4,2,2,5,3,22,105,GAS,BS Criminology
2,5,4,7,3,3,33,47,STEM,BS Nursing
2,2,3,5,6,5,28,46,Sports,BS Marketing Management
6,3,4,4,6,4,35,82,GAS,BS Criminology
4,4,7,5,4,3,25,52,Arts & Design,Bachelor of Fine Arts
7,3,4,2,5,4,31,105,TVL,BS Criminology
3,4,4,5,3,3,24,105,TVL,BS Hospitality Management
6,5,4,4,3,6,40,104,HUMSS,BS Civil Engineering
3,4,5,7,4,3,23,124,HUMSS,BS Tourism Management
6,6,2,2,2,4,37,107,GAS,BS Information Systems
3,2,6,5,2,2,29,78,Arts & Design,Bachelor of Fine Arts
2,4,2,3,6,6,21,124,ABM,BS Accountancy
5,5,3,3,3,2,35,79,GAS,BS Agriculture
4,7,2,7,2,3,32,59,STEM,BS Biology
6,5,4,2,4,4,23,125,ABM,BS Architecture
2,4,4,7,4,4,33,57,TVL,BS Hospitality Management
3,2,3,5,4,3,18,76,TVL,BS Hospitality Management
3,3,7,3,2,3,29,98,Arts & Design,Bachelor of Fine Arts
4,7,3,2,2,5,31,97,STEM,BS Civil Engineering
4,6,2,6,2,2,40,111,STEM,BS Biology
5,6,3,2,3,4,30,49,STEM,BS Information Systems
4,2,5,7,5,4,27,98,HUMSS,BS Psychology
6,6,4,3,3,2,26,112,GAS,BS Agriculture
4,3,4,7,3,4,37,124,HUMSS,BS Psychology
4,3,3,6,3,2,35,87,TVL,BS Hospitality Management
4,4,4,5,3,4,35,84,HUMSS,BS Psychology
2,2,4,5,6,5,27,99,ABM,BS Accountancy
4,5,3,6,4,4,29,60,Arts & Design,BS Nursing
3,6,4,7,2,3,28,75,STEM,BS Nursing
4,4,4,5,7,7,25,89,ABM,BS Marketing Management
4,2,4,4,7,7,25,58,ABM,BS Marketing Management
2,3,3,3,5,7,31,97,STEM,BS Marketing Management
5,3,2,3,4,3,39,112,GAS,BS Criminology
7,5,3,4,3,4,31,101,GAS,BS Agriculture
4,3,6,3,4,2,33,103,Arts & Design,Bachelor of Fine Arts
4,5,4,5,3,3,19,65,STEM,BS Biology
2,4,4,5,3,3,36,82,ABM,BS Hospitality Management
3,6,3,6,3,3,18,63,TVL,BS Nursing
5,3,3,2,4,4,33,45,HUMSS,BS Criminology
4,6,3,4,3,6,32,88,STEM,BS Information Systems
4,4,6,3,4,4,32,102,Arts & Design,Bachelor of Fine Arts
4,3,3,7,5,4,31,94,HUMSS,BS Psychology
3,4,3,7,4,4,26,56,HUMSS,BS Tourism Management
6,7,4,3,4,6,21,116,TVL,BS Information Technology
7,4,4,4,2,3,34,47,TVL,BS Agriculture
